1,2025-02-10 11:12:13.122000,Daždivé,12.5,2025-02-10 11:42:13.122000,Oblačno
721,2024-12-31 01:00:00.000000,Sneženie,-0.3,2024-12-31 09:51:00.000000,Mráz
722,2024-12-17 01:00:00.000000,Mráz,0.9,2024-12-17 11:00:00.000000,Husté sneženie
723,2024-04-13 01:00:00.000000,Prehánky,5.4,2024-04-13 06:20:00.000000,Polooblačno
724,2024-08-09 01:00:00.000000,Slnečno,15.1,2024-08-09 10:05:00.000000,Horúčavy
725,2024-11-25 01:00:00.000000,Zamračené,11.3,2024-11-25 07:33:00.000000,Mierne sneženie
726,2024-06-27 01:00:00.000000,Horúčavy,35.1,2024-06-27 08:16:00.000000,Dusno
727,2024-03-23 01:00:00.000000,Polooblačno,4.9,2024-03-23 10:20:00.000000,Búrky
728,2024-06-05 01:00:00.000000,Dusno,17.6,2024-06-05 14:23:00.000000,Letná búrka
729,2024-08-14 01:00:00.000000,Sucho,34.4,2024-08-14 13:14:00.000000,Slnečno
730,2024-05-18 01:00:00.000000,Dážď,19.6,2024-05-18 15:20:00.000000,Prehánky
731,2024-06-03 01:00:00.000000,Horúčavy,39.4,2024-06-03 13:00:00.000000,Dusno
732,2024-07-03 01:00:00.000000,Dusno,16.1,2024-07-03 12:02:00.000000,Letná búrka
733,2024-07-16 01:00:00.000000,Slnečno,39.6,2024-07-16 08:19:00.000000,Horúčavy
734,2024-10-21 01:00:00.000000,Mierne sneženie,3.4,2024-10-21 09:03:00.000000,Hmla
735,2024-04-24 01:00:00.000000,Búrky,9.6,2024-04-24 17:22:00.000000,Hmla
736,2024-06-02 01:00:00.000000,Dusno,24.1,2024-06-02 07:00:00.000000,Letná búrka
737,2024-10-20 01:00:00.000000,Veterno,11.3,2024-10-20 09:01:00.000000,Zamračené
738,2024-09-01 01:00:00.000000,Daždivo,6.5,2024-09-01 10:36:00.000000,Veterno
1764,2024-06-13 01:00:00.000000,Dusno,27.1,2024-06-13 12:08:00.000000,Letná búrka
1765,2024-12-27 01:00:00.000000,Mráz,-7,2024-12-27 09:20:00.000000,Husté sneženie
1766,2024-02-24 01:00:00.000000,Husté sneženie,3.8,2024-02-24 13:52:00.000000,Poľadovica
1767,2024-09-09 01:00:00.000000,Veterno,1.5,2024-09-09 08:56:00.000000,Zamračené
1768,2024-09-22 01:00:00.000000,Daždivo,13,2024-09-22 07:57:00.000000,Veterno
1769,2024-04-26 01:00:00.000000,Prehánky,19.5,2024-04-26 11:52:00.000000,Polooblačno
1770,2024-11-06 01:00:00.000000,Veterno,6.2,2024-11-06 17:25:00.000000,Zamračené
1771,2024-03-30 01:00:00.000000,Búrky,9.7,2024-03-30 09:27:00.000000,Hmla
1772,2024-09-13 01:00:00.000000,Daždivo,0.9,2024-09-13 08:49:00.000000,Veterno
1773,2024-02-26 01:00:00.000000,Mráz,-3.2,2024-02-26 15:00:00.000000,Husté sneženie
1774,2024-08-04 01:00:00.000000,Horúčavy,34.5,2024-08-04 06:48:00.000000,Dusno
1775,2024-11-16 01:00:00.000000,Veterno,9.7,2024-11-16 17:24:00.000000,Zamračené
1776,2024-08-12 01:00:00.000000,Letná búrka,25.4,2024-08-12 13:41:00.000000,Sucho
1777,2024-05-22 01:00:00.000000,Prehánky,0.3,2024-05-22 11:09:00.000000,Polooblačno
1778,2024-04-27 01:00:00.000000,Dážď,18.7,2024-04-27 16:36:00.000000,Prehánky
1779,2024-12-18 01:00:00.000000,Sneženie,-12.3,2024-12-18 08:44:00.000000,Mráz
1780,2024-12-25 01:00:00.000000,Zamračené,5,2024-12-25 07:51:00.000000,Sneženie
1781,2024-05-30 01:00:00.000000,Prehánky,17.5,2024-05-30 14:57:00.000000,Polooblačno
1782,2024-06-15 01:00:00.000000,Slnečno,29.5,2024-06-15 14:25:00.000000,Horúčavy
1783,2024-11-14 01:00:00.000000,Zamračené,5.7,2024-11-14 11:50:00.000000,Mierne sneženie
1784,2024-08-06 01:00:00.000000,Horúčavy,22.6,2024-08-06 15:55:00.000000,Dusno
1785,2024-03-12 01:00:00.000000,Búrky,16.2,2024-03-12 08:49:00.000000,Hmla
1786,2024-11-24 01:00:00.000000,Zamračené,13.5,2024-11-24 12:16:00.000000,Mierne sneženie
1787,2024-10-25 01:00:00.000000,Mierne sneženie,2.8,2024-10-25 16:34:00.000000,Hmla
1788,2025-02-01 01:00:00.000000,Poľadovica,-10.4,2025-02-01 10:09:00.000000,Zamračené
1789,2024-03-13 01:00:00.000000,Búrky,10.5,2024-03-13 09:31:00.000000,Hmla
1790,2024-08-14 01:00:00.000000,Horúčavy,29.7,2024-08-14 17:46:00.000000,Dusno
1791,2024-03-15 01:00:00.000000,Hmla,3.4,2024-03-15 08:16:00.000000,Dážď
1792,2024-05-30 01:00:00.000000,Hmla,10,2024-05-30 09:21:00.000000,Dážď
1793,2024-10-06 01:00:00.000000,Veterno,7.8,2024-10-06 16:13:00.000000,Zamračené
1794,2024-03-05 01:00:00.000000,Hmla,12.1,2024-03-05 13:13:00.000000,Dážď
1795,2024-04-07 01:00:00.000000,Prehánky,3.9,2024-04-07 15:53:00.000000,Polooblačno
1796,2024-11-28 01:00:00.000000,Zamračené,8.6,2024-11-28 12:19:00.000000,Mierne sneženie
1797,2025-01-21 01:00:00.000000,Poľadovica,-4.7,2025-01-21 16:41:00.000000,Zamračené
1798,2024-06-26 01:00:00.000000,Sucho,29.4,2024-06-26 16:29:00.000000,Slnečno
1799,2024-10-17 01:00:00.000000,Zamračené,5.5,2024-10-17 13:37:00.000000,Mierne sneženie
1800,2024-03-19 01:00:00.000000,Prehánky,17,2024-03-19 06:06:00.000000,Polooblačno
1801,2024-05-06 01:00:00.000000,Polooblačno,2.5,2024-05-06 10:13:00.000000,Búrky
1802,2024-04-09 01:00:00.000000,Búrky,8,2024-04-09 10:19:00.000000,Hmla
1803,2024-03-31 01:00:00.000000,Búrky,8.7,2024-03-31 09:56:00.000000,Hmla
1804,2024-03-02 01:00:00.000000,Búrky,17.4,2024-03-02 09:54:00.000000,Hmla
1805,2024-09-30 01:00:00.000000,Veterno,4.8,2024-09-30 06:17:00.000000,Zamračené
1806,2024-03-01 01:00:00.000000,Polooblačno,18.1,2024-03-01 14:10:00.000000,Búrky
1807,2024-11-07 01:00:00.000000,Daždivo,13.1,2024-11-07 13:20:00.000000,Veterno
1808,2024-06-23 01:00:00.000000,Dusno,32.4,2024-06-23 13:16:00.000000,Letná búrka
1809,2024-11-30 01:00:00.000000,Veterno,14.7,2024-11-30 09:07:00.000000,Zamračené
1810,2024-03-26 01:00:00.000000,Prehánky,19,2024-03-26 13:53:00.000000,Polooblačno
1811,2024-12-11 01:00:00.000000,Husté sneženie,-13.3,2024-12-11 12:22:00.000000,Poľadovica
1812,2024-04-22 01:00:00.000000,Hmla,11.2,2024-04-22 06:22:00.000000,Dážď
1813,2024-05-18 01:00:00.000000,Prehánky,17.3,2024-05-18 09:04:00.000000,Polooblačno
1814,2024-03-16 01:00:00.000000,Polooblačno,17.2,2024-03-16 14:39:00.000000,Búrky
1815,2024-06-05 01:00:00.000000,Dusno,16.1,2024-06-05 16:26:00.000000,Letná búrka
1816,2024-05-09 01:00:00.000000,Dážď,1.2,2024-05-09 07:28:00.000000,Prehánky
1817,2025-02-09 01:00:00.000000,Poľadovica,3.5,2025-02-09 06:33:00.000000,Zamračené
1818,2024-02-29 01:00:00.000000,Zamračené,-0.9,2024-02-29 07:53:00.000000,Sneženie
1819,2024-11-19 01:00:00.000000,Veterno,8.2,2024-11-19 16:21:00.000000,Zamračené
1820,2024-11-04 01:00:00.000000,Daždivo,14.3,2024-11-04 15:57:00.000000,Veterno
1821,2024-08-05 01:00:00.000000,Letná búrka,25,2024-08-05 16:19:00.000000,Sucho
1822,2024-12-12 01:00:00.000000,Husté sneženie,-4.3,2024-12-12 07:36:00.000000,Poľadovica
1823,2024-05-17 01:00:00.000000,Dážď,7.3,2024-05-17 08:11:00.000000,Prehánky
1824,2024-02-26 01:00:00.000000,Mráz,-10.1,2024-02-26 08:38:00.000000,Husté sneženie
1825,2024-11-06 01:00:00.000000,Veterno,2.6,2024-11-06 16:51:00.000000,Zamračené
1826,2025-01-01 01:00:00.000000,Husté sneženie,-6.2,2025-01-01 09:47:00.000000,Poľadovica
1827,2024-02-19 01:00:00.000000,Husté sneženie,-10.1,2024-02-19 16:29:00.000000,Poľadovica
1828,2024-07-23 01:00:00.000000,Dusno,33.1,2024-07-23 17:42:00.000000,Letná búrka
1829,2024-07-07 01:00:00.000000,Sucho,18.7,2024-07-07 14:45:00.000000,Slnečno
1830,2024-04-27 01:00:00.000000,Prehánky,7.8,2024-04-27 09:05:00.000000,Polooblačno
1831,2024-11-08 01:00:00.000000,Veterno,10.9,2024-11-08 14:00:00.000000,Zamračené
1832,2024-05-23 01:00:00.000000,Hmla,3.7,2024-05-23 17:37:00.000000,Dážď
1833,2024-04-14 01:00:00.000000,Prehánky,10.2,2024-04-14 16:33:00.000000,Polooblačno
1834,2024-06-21 01:00:00.000000,Dusno,37.6,2024-06-21 12:28:00.000000,Letná búrka
1835,2024-06-03 01:00:00.000000,Dusno,36.8,2024-06-03 15:20:00.000000,Letná búrka
1836,2024-10-04 01:00:00.000000,Zamračené,3.5,2024-10-04 17:02:00.000000,Mierne sneženie
1837,2024-03-13 01:00:00.000000,Polooblačno,13.9,2024-03-13 16:23:00.000000,Búrky
1838,2025-01-25 01:00:00.000000,Husté sneženie,-2.2,2025-01-25 15:10:00.000000,Poľadovica
1839,2025-02-06 01:00:00.000000,Husté sneženie,-12,2025-02-06 09:17:00.000000,Poľadovica
1840,2024-08-31 01:00:00.000000,Letná búrka,35.6,2024-08-31 13:38:00.000000,Sucho
1841,2024-09-30 01:00:00.000000,Hmla,15,2024-09-30 10:28:00.000000,Daždivo
1842,2024-04-23 01:00:00.000000,Prehánky,0.2,2024-04-23 08:21:00.000000,Polooblačno
1843,2024-07-09 01:00:00.000000,Horúčavy,27.3,2024-07-09 16:22:00.000000,Dusno
1844,2024-09-28 01:00:00.000000,Zamračené,9.5,2024-09-28 15:28:00.000000,Mierne sneženie
1845,2024-10-22 01:00:00.000000,Hmla,3.7,2024-10-22 08:54:00.000000,Daždivo
1846,2024-05-28 01:00:00.000000,Dážď,1.7,2024-05-28 11:32:00.000000,Prehánky
1847,2024-08-17 01:00:00.000000,Horúčavy,22.7,2024-08-17 10:28:00.000000,Dusno
1848,2024-06-26 01:00:00.000000,Horúčavy,17.1,2024-06-26 16:56:00.000000,Dusno
1849,2024-12-27 01:00:00.000000,Zamračené,-12.6,2024-12-27 12:57:00.000000,Sneženie
1850,2025-01-22 01:00:00.000000,Husté sneženie,-5.3,2025-01-22 16:10:00.000000,Poľadovica
1851,2024-04-30 01:00:00.000000,Prehánky,18.4,2024-04-30 10:31:00.000000,Polooblačno
1852,2024-02-19 01:00:00.000000,Husté sneženie,2.5,2024-02-19 07:49:00.000000,Poľadovica
1853,2024-05-11 01:00:00.000000,Búrky,0.2,2024-05-11 07:50:00.000000,Hmla
1854,2024-06-09 01:00:00.000000,Slnečno,37.6,2024-06-09 06:08:00.000000,Horúčavy
1855,2024-08-03 01:00:00.000000,Dusno,20.3,2024-08-03 16:36:00.000000,Letná búrka
1856,2024-05-14 01:00:00.000000,Polooblačno,0.5,2024-05-14 14:54:00.000000,Búrky
1857,2024-04-12 01:00:00.000000,Prehánky,11.2,2024-04-12 16:44:00.000000,Polooblačno
1858,2024-05-12 01:00:00.000000,Polooblačno,15.4,2024-05-12 06:15:00.000000,Búrky
1859,2024-07-25 01:00:00.000000,Horúčavy,33,2024-07-25 06:05:00.000000,Dusno
1860,2024-08-06 01:00:00.000000,Letná búrka,23,2024-08-06 13:55:00.000000,Sucho
1861,2024-10-29 01:00:00.000000,Zamračené,10.6,2024-10-29 17:32:00.000000,Mierne sneženie
1862,2024-07-14 01:00:00.000000,Sucho,32.2,2024-07-14 11:03:00.000000,Slnečno
1863,2024-05-06 01:00:00.000000,Prehánky,15.7,2024-05-06 11:23:00.000000,Polooblačno
1864,2024-05-19 01:00:00.000000,Prehánky,5.7,2024-05-19 11:55:00.000000,Polooblačno
1865,2024-02-12 01:00:00.000000,Poľadovica,3.5,2024-02-12 09:42:00.000000,Zamračené
1866,2024-05-30 01:00:00.000000,Prehánky,13.8,2024-05-30 16:29:00.000000,Polooblačno
1867,2024-11-19 01:00:00.000000,Hmla,4.2,2024-11-19 06:00:00.000000,Daždivo
1868,2024-05-20 01:00:00.000000,Búrky,18.2,2024-05-20 17:13:00.000000,Hmla
1869,2024-12-27 01:00:00.000000,Sneženie,-7.3,2024-12-27 16:15:00.000000,Mráz
1870,2024-09-30 01:00:00.000000,Mierne sneženie,10.3,2024-09-30 16:22:00.000000,Hmla
1871,2024-10-24 01:00:00.000000,Zamračené,5,2024-10-24 11:52:00.000000,Mierne sneženie
1872,2025-01-12 01:00:00.000000,Poľadovica,-10.6,2025-01-12 17:15:00.000000,Zamračené
1873,2024-04-18 01:00:00.000000,Búrky,9.9,2024-04-18 14:52:00.000000,Hmla
1874,2024-11-28 01:00:00.000000,Zamračené,7.3,2024-11-28 08:27:00.000000,Mierne sneženie
1875,2024-05-01 01:00:00.000000,Dážď,19.2,2024-05-01 16:00:00.000000,Prehánky
1876,2024-05-08 01:00:00.000000,Polooblačno,13.3,2024-05-08 12:54:00.000000,Búrky
1877,2024-09-03 01:00:00.000000,Zamračené,6.5,2024-09-03 13:34:00.000000,Mierne sneženie
1878,2024-03-10 01:00:00.000000,Prehánky,8.3,2024-03-10 10:01:00.000000,Polooblačno
1879,2025-02-02 01:00:00.000000,Poľadovica,0.8,2025-02-02 15:36:00.000000,Zamračené
1880,2024-08-14 01:00:00.000000,Horúčavy,32.1,2024-08-14 12:02:00.000000,Dusno
1881,2024-11-12 01:00:00.000000,Mierne sneženie,3.2,2024-11-12 13:09:00.000000,Hmla
1882,2024-04-01 01:00:00.000000,Polooblačno,9.4,2024-04-01 08:15:00.000000,Búrky
1883,2025-02-01 01:00:00.000000,Husté sneženie,-10.1,2025-02-01 09:14:00.000000,Poľadovica
1884,2024-12-06 01:00:00.000000,Zamračené,-11.9,2024-12-06 15:14:00.000000,Sneženie
1885,2025-02-09 01:00:00.000000,Zamračené,-8.7,2025-02-09 12:27:00.000000,Sneženie
1886,2024-05-15 01:00:00.000000,Polooblačno,18.4,2024-05-15 12:28:00.000000,Búrky
1887,2024-04-15 01:00:00.000000,Dážď,9.7,2024-04-15 08:45:00.000000,Prehánky
1888,2024-06-07 01:00:00.000000,Dusno,29,2024-06-07 10:07:00.000000,Letná búrka
1889,2024-09-15 01:00:00.000000,Daždivo,12.7,2024-09-15 06:53:00.000000,Veterno
1890,2024-07-09 01:00:00.000000,Horúčavy,20.1,2024-07-09 17:06:00.000000,Dusno
1891,2024-12-25 01:00:00.000000,Poľadovica,-0.6,2024-12-25 11:42:00.000000,Zamračené
1892,2024-10-23 01:00:00.000000,Mierne sneženie,9.7,2024-10-23 16:34:00.000000,Hmla
1893,2024-05-03 01:00:00.000000,Prehánky,6.1,2024-05-03 14:57:00.000000,Polooblačno
1894,2024-10-21 01:00:00.000000,Hmla,11.7,2024-10-21 12:17:00.000000,Daždivo
1895,2024-07-15 01:00:00.000000,Slnečno,36.5,2024-07-15 09:25:00.000000,Horúčavy
1896,2024-09-20 01:00:00.000000,Veterno,14.2,2024-09-20 15:18:00.000000,Zamračené
1897,2024-06-25 01:00:00.000000,Dusno,27.8,2024-06-25 17:00:00.000000,Letná búrka
1898,2024-12-16 01:00:00.000000,Mráz,-11.2,2024-12-16 06:35:00.000000,Husté sneženie
1899,2024-06-11 01:00:00.000000,Dusno,29.9,2024-06-11 17:30:00.000000,Letná búrka
1900,2024-05-30 01:00:00.000000,Polooblačno,14.9,2024-05-30 07:40:00.000000,Búrky
1901,2024-10-19 01:00:00.000000,Zamračené,4.6,2024-10-19 17:12:00.000000,Mierne sneženie
1902,2024-05-02 01:00:00.000000,Polooblačno,1.6,2024-05-02 07:12:00.000000,Búrky
1903,2024-08-24 01:00:00.000000,Dusno,38.7,2024-08-24 10:48:00.000000,Letná búrka
1904,2024-05-14 01:00:00.000000,Prehánky,0.6,2024-05-14 17:37:00.000000,Polooblačno
1905,2024-10-26 01:00:00.000000,Daždivo,5.3,2024-10-26 13:32:00.000000,Veterno
1906,2024-04-20 01:00:00.000000,Polooblačno,9,2024-04-20 08:04:00.000000,Búrky
1907,2024-11-05 01:00:00.000000,Veterno,1.7,2024-11-05 10:56:00.000000,Zamračené
1908,2024-10-24 01:00:00.000000,Daždivo,4.4,2024-10-24 16:15:00.000000,Veterno
1909,2024-03-17 01:00:00.000000,Polooblačno,14,2024-03-17 12:42:00.000000,Búrky
739,2024-09-17 01:00:00.000000,Daždivo,12.4,2024-09-17 11:14:00.000000,Veterno
740,2024-08-08 01:00:00.000000,Dusno,34.1,2024-08-08 09:17:00.000000,Letná búrka
741,2024-06-17 01:00:00.000000,Letná búrka,33.8,2024-06-17 16:06:00.000000,Sucho
742,2024-03-01 01:00:00.000000,Búrky,15.5,2024-03-01 14:10:00.000000,Hmla
743,2024-03-03 01:00:00.000000,Dážď,6.2,2024-03-03 16:15:00.000000,Prehánky
744,2024-09-30 01:00:00.000000,Veterno,9.4,2024-09-30 07:33:00.000000,Zamračené
745,2024-03-23 01:00:00.000000,Polooblačno,4.6,2024-03-23 15:39:00.000000,Búrky
746,2024-04-02 01:00:00.000000,Polooblačno,17.3,2024-04-02 11:02:00.000000,Búrky
747,2024-07-16 01:00:00.000000,Sucho,21.8,2024-07-16 10:10:00.000000,Slnečno
748,2024-08-21 01:00:00.000000,Letná búrka,18.3,2024-08-21 07:00:00.000000,Sucho
749,2024-04-14 01:00:00.000000,Búrky,6,2024-04-14 11:12:00.000000,Hmla
750,2024-06-01 01:00:00.000000,Slnečno,15.1,2024-06-01 10:14:00.000000,Horúčavy
751,2024-04-22 01:00:00.000000,Búrky,12.5,2024-04-22 11:11:00.000000,Hmla
752,2024-09-02 01:00:00.000000,Daždivo,4.8,2024-09-02 12:17:00.000000,Veterno
753,2024-03-02 01:00:00.000000,Polooblačno,5.4,2024-03-02 08:02:00.000000,Búrky
754,2024-04-11 01:00:00.000000,Prehánky,15.3,2024-04-11 09:34:00.000000,Polooblačno
755,2024-07-12 01:00:00.000000,Slnečno,17.2,2024-07-12 07:05:00.000000,Horúčavy
756,2025-02-10 01:00:00.000000,Poľadovica,2.2,2025-02-10 08:57:00.000000,Zamračené
757,2024-10-02 01:00:00.000000,Veterno,14,2024-10-02 08:51:00.000000,Zamračené
758,2024-11-15 01:00:00.000000,Zamračené,4.5,2024-11-15 07:34:00.000000,Mierne sneženie
759,2024-07-10 01:00:00.000000,Horúčavy,16.7,2024-07-10 14:37:00.000000,Dusno
760,2024-05-19 01:00:00.000000,Búrky,9.5,2024-05-19 08:56:00.000000,Hmla
761,2024-06-26 01:00:00.000000,Horúčavy,24.1,2024-06-26 11:55:00.000000,Dusno
762,2024-05-30 01:00:00.000000,Dážď,12.2,2024-05-30 07:36:00.000000,Prehánky
763,2024-10-21 01:00:00.000000,Zamračené,3.9,2024-10-21 17:35:00.000000,Mierne sneženie
764,2025-01-28 01:00:00.000000,Husté sneženie,-11.1,2025-01-28 14:57:00.000000,Poľadovica
765,2024-06-24 01:00:00.000000,Slnečno,19,2024-06-24 15:35:00.000000,Horúčavy
766,2024-08-07 01:00:00.000000,Dusno,15.9,2024-08-07 15:30:00.000000,Letná búrka
767,2025-02-04 01:00:00.000000,Husté sneženie,3.7,2025-02-04 15:41:00.000000,Poľadovica
768,2024-08-15 01:00:00.000000,Slnečno,24.1,2024-08-15 16:14:00.000000,Horúčavy
769,2024-08-09 01:00:00.000000,Slnečno,16.9,2024-08-09 07:18:00.000000,Horúčavy
770,2024-09-01 01:00:00.000000,Veterno,1.8,2024-09-01 13:45:00.000000,Zamračené
771,2024-09-11 01:00:00.000000,Veterno,5.5,2024-09-11 10:20:00.000000,Zamračené
772,2024-07-17 01:00:00.000000,Dusno,37.8,2024-07-17 07:44:00.000000,Letná búrka
773,2024-10-04 01:00:00.000000,Daždivo,2.6,2024-10-04 14:47:00.000000,Veterno
774,2024-10-31 01:00:00.000000,Daždivo,2.9,2024-10-31 07:12:00.000000,Veterno
775,2024-08-26 01:00:00.000000,Horúčavy,23.1,2024-08-26 13:50:00.000000,Dusno
776,2024-07-29 01:00:00.000000,Dusno,38.3,2024-07-29 14:11:00.000000,Letná búrka
777,2024-05-06 01:00:00.000000,Búrky,2.3,2024-05-06 07:37:00.000000,Hmla
778,2024-06-22 01:00:00.000000,Dusno,27.5,2024-06-22 12:35:00.000000,Letná búrka
779,2024-05-06 01:00:00.000000,Hmla,17.2,2024-05-06 07:38:00.000000,Dážď
780,2024-08-29 01:00:00.000000,Dusno,29,2024-08-29 13:58:00.000000,Letná búrka
781,2024-12-27 01:00:00.000000,Husté sneženie,-1.5,2024-12-27 09:02:00.000000,Poľadovica
782,2025-01-12 01:00:00.000000,Poľadovica,-4.6,2025-01-12 11:51:00.000000,Zamračené
783,2024-10-05 01:00:00.000000,Hmla,14.2,2024-10-05 10:04:00.000000,Daždivo
784,2024-07-24 01:00:00.000000,Horúčavy,28.8,2024-07-24 10:32:00.000000,Dusno
785,2024-11-18 01:00:00.000000,Hmla,4.5,2024-11-18 14:38:00.000000,Daždivo
786,2024-10-29 01:00:00.000000,Veterno,10.3,2024-10-29 12:04:00.000000,Zamračené
787,2024-07-31 01:00:00.000000,Dusno,19.1,2024-07-31 17:21:00.000000,Letná búrka
788,2025-01-14 01:00:00.000000,Husté sneženie,-7.4,2025-01-14 07:10:00.000000,Poľadovica
789,2025-02-02 01:00:00.000000,Husté sneženie,-9.9,2025-02-02 11:53:00.000000,Poľadovica
790,2024-05-19 01:00:00.000000,Búrky,1.8,2024-05-19 06:42:00.000000,Hmla
791,2025-01-29 01:00:00.000000,Husté sneženie,-13,2025-01-29 15:33:00.000000,Poľadovica
792,2024-07-18 01:00:00.000000,Horúčavy,33,2024-07-18 06:09:00.000000,Dusno
793,2024-02-15 01:00:00.000000,Mráz,-14,2024-02-15 17:52:00.000000,Husté sneženie
794,2024-12-22 01:00:00.000000,Husté sneženie,-8.4,2024-12-22 15:01:00.000000,Poľadovica
795,2024-08-19 01:00:00.000000,Letná búrka,29.8,2024-08-19 14:23:00.000000,Sucho
796,2024-03-13 01:00:00.000000,Hmla,9.1,2024-03-13 14:18:00.000000,Dážď
797,2024-03-11 01:00:00.000000,Búrky,7,2024-03-11 11:05:00.000000,Hmla
798,2024-06-25 01:00:00.000000,Letná búrka,25.7,2024-06-25 14:36:00.000000,Sucho
799,2024-12-28 01:00:00.000000,Mráz,-0.8,2024-12-28 08:24:00.000000,Husté sneženie
800,2024-06-11 01:00:00.000000,Dusno,19.4,2024-06-11 11:17:00.000000,Letná búrka
801,2024-02-26 01:00:00.000000,Husté sneženie,-3.4,2024-02-26 16:52:00.000000,Poľadovica
802,2024-03-20 01:00:00.000000,Hmla,15.5,2024-03-20 11:21:00.000000,Dážď
803,2024-11-03 01:00:00.000000,Veterno,14.8,2024-11-03 12:37:00.000000,Zamračené
804,2024-06-21 01:00:00.000000,Horúčavy,20,2024-06-21 17:26:00.000000,Dusno
805,2024-11-12 01:00:00.000000,Daždivo,6.3,2024-11-12 12:10:00.000000,Veterno
806,2024-05-07 01:00:00.000000,Polooblačno,9.3,2024-05-07 09:43:00.000000,Búrky
807,2024-08-02 01:00:00.000000,Sucho,30.9,2024-08-02 15:12:00.000000,Slnečno
808,2024-05-31 01:00:00.000000,Prehánky,14.1,2024-05-31 16:07:00.000000,Polooblačno
809,2024-02-26 01:00:00.000000,Poľadovica,-8.2,2024-02-26 14:05:00.000000,Zamračené
810,2024-03-07 01:00:00.000000,Búrky,16.4,2024-03-07 11:27:00.000000,Hmla
811,2024-02-20 01:00:00.000000,Husté sneženie,-12.1,2024-02-20 08:46:00.000000,Poľadovica
812,2024-06-13 01:00:00.000000,Slnečno,34,2024-06-13 14:44:00.000000,Horúčavy
813,2024-12-10 01:00:00.000000,Poľadovica,-13.9,2024-12-10 09:58:00.000000,Zamračené
814,2024-11-21 01:00:00.000000,Hmla,11.2,2024-11-21 12:15:00.000000,Daždivo
815,2024-08-26 01:00:00.000000,Letná búrka,36.2,2024-08-26 14:46:00.000000,Sucho
816,2024-10-23 01:00:00.000000,Veterno,0.1,2024-10-23 13:08:00.000000,Zamračené
817,2024-12-24 01:00:00.000000,Poľadovica,-1.3,2024-12-24 11:16:00.000000,Zamračené
818,2024-08-23 01:00:00.000000,Letná búrka,16.7,2024-08-23 11:17:00.000000,Sucho
819,2025-01-14 01:00:00.000000,Sneženie,-6.2,2025-01-14 15:38:00.000000,Mráz
820,2024-02-16 01:00:00.000000,Zamračené,-2.2,2024-02-16 17:36:00.000000,Sneženie
821,2025-01-11 01:00:00.000000,Husté sneženie,-12.4,2025-01-11 08:10:00.000000,Poľadovica
822,2024-02-16 01:00:00.000000,Poľadovica,0.1,2024-02-16 09:36:00.000000,Zamračené
823,2025-01-20 01:00:00.000000,Mráz,-11,2025-01-20 11:38:00.000000,Husté sneženie
824,2024-06-10 01:00:00.000000,Horúčavy,26.9,2024-06-10 14:41:00.000000,Dusno
825,2025-01-22 01:00:00.000000,Poľadovica,-5.1,2025-01-22 16:35:00.000000,Zamračené
826,2024-09-02 01:00:00.000000,Daždivo,12.8,2024-09-02 12:00:00.000000,Veterno
827,2024-04-24 01:00:00.000000,Búrky,9.4,2024-04-24 12:09:00.000000,Hmla
828,2024-09-11 01:00:00.000000,Mierne sneženie,1.9,2024-09-11 13:29:00.000000,Hmla
829,2024-08-27 01:00:00.000000,Letná búrka,39.9,2024-08-27 11:03:00.000000,Sucho
830,2024-08-25 01:00:00.000000,Dusno,24,2024-08-25 13:13:00.000000,Letná búrka
831,2025-01-11 01:00:00.000000,Poľadovica,2.4,2025-01-11 10:00:00.000000,Zamračené
832,2024-07-17 01:00:00.000000,Horúčavy,20,2024-07-17 16:20:00.000000,Dusno
833,2024-06-04 01:00:00.000000,Slnečno,26.5,2024-06-04 16:23:00.000000,Horúčavy
834,2025-01-06 01:00:00.000000,Husté sneženie,-14.1,2025-01-06 09:29:00.000000,Poľadovica
835,2025-01-22 01:00:00.000000,Sneženie,-11.1,2025-01-22 15:50:00.000000,Mráz
836,2025-01-09 01:00:00.000000,Mráz,-11.1,2025-01-09 13:38:00.000000,Husté sneženie
837,2024-07-15 01:00:00.000000,Dusno,31.2,2024-07-15 13:04:00.000000,Letná búrka
838,2024-10-16 01:00:00.000000,Veterno,11.5,2024-10-16 08:07:00.000000,Zamračené
839,2024-07-20 01:00:00.000000,Horúčavy,19.1,2024-07-20 07:50:00.000000,Dusno
840,2025-02-04 01:00:00.000000,Mráz,-8.2,2025-02-04 14:41:00.000000,Husté sneženie
841,2024-12-24 01:00:00.000000,Husté sneženie,-7.7,2024-12-24 12:20:00.000000,Poľadovica
842,2024-05-07 01:00:00.000000,Polooblačno,14.6,2024-05-07 13:47:00.000000,Búrky
843,2024-07-11 01:00:00.000000,Horúčavy,27.3,2024-07-11 12:08:00.000000,Dusno
844,2024-10-22 01:00:00.000000,Daždivo,7.1,2024-10-22 07:51:00.000000,Veterno
845,2024-07-04 01:00:00.000000,Letná búrka,24.8,2024-07-04 07:40:00.000000,Sucho
846,2025-01-08 01:00:00.000000,Husté sneženie,3.5,2025-01-08 16:27:00.000000,Poľadovica
847,2024-03-17 01:00:00.000000,Prehánky,2.6,2024-03-17 10:09:00.000000,Polooblačno
848,2024-10-07 01:00:00.000000,Zamračené,8.5,2024-10-07 08:46:00.000000,Mierne sneženie
