1873,IMOVAX D.T. ADULT,O,"sus inj 10x0,5 ml (striek.inj.skl.napln.)",J07AM51,55,N,1.29
1874,IMUNOR,O,lyo por 4x10 mg (liek.inj.skl.),L03AX,71,N,9.64
1875,Imuran 25 mg,O,tbl flm 100x25 mg (blis.PVC/Al),L04AX01,82,A,2.14
1876,Imuran 50 mg,O,tbl flm 100x50 mg (blis.PVC/Al),L04AX01,1,A,3.48
1877,Incresync 25 mg/30 mg filmom obalené tablety,O,tbl flm 28x25 mg/30 mg (blis.NYL/Al/PVC),A10BD09,44,A,14.51
1878,Incruse Ellipta 55 mikrogramov dávkovaný inhalačný prášok,O,plv ido 1 inhalátor (30 dávok) (blis.Al),R03BB07,69,A,11.53
1879,Indap,1G,"cps dur 100x2,5 mg (blis. PVC/Al)",C03BA11,47,A,6.76
1880,Indap,1G,"cps dur 30x2,5 mg (blis. PVC/Al)",C03BA11,52,N,7.46
1881,"Indapamid ratiopharm 1,5 mg",1G,"tbl plg 30x1,5 mg (blister PVC/PVDc/Al)",C03BA11,85,A,10.82
1882,"Indapamid STADA 1,5 mg",1G,"tbl plg 100x1,5 mg (blis.PVC/Al)",C03BA11,77,A,4.35
1883,"Indapamid STADA 1,5 mg",1G,"tbl plg 30x1,5 mg (blis.PVC/Al)",C03BA11,95,A,4.94
1884,Indometacin 100 Berlin-Chemie,O,sup 10x100 mg (fólia PVC/PE),M01AB01,24,A,9.89
1885,Indometacin 100 Galvex,1G,sup 10x100 mg (strip PVC/LDPE),M01AB01,98,N,6.81
1886,Indometacin 50 Berlin-Chemie,O,sup 10x50 mg (fólia PVC/PE),M01AB01,88,N,2.42
1887,INEGY 10 mg/20 mg tablety,O,tbl 30x10 mg/20 mg (blis.PCTFE/PVC/Al),C10BA02,44,A,8.71
1888,INEGY 10 mg/20 mg tablety,O,tbl 98x10 mg/20 mg (blis.PCTFE/PVC/Al),C10BA02,16,N,13.22
1889,INEGY 10 mg/40 mg tablety,O,tbl 30x10 mg/40 mg (blis.PCTFE/PVC/Al),C10BA02,26,A,6.14
1890,INEGY 10 mg/40 mg tablety,O,tbl 98x10 mg/40 mg (blis.PCTFE/PVC/Al),C10BA02,2,N,12.4
1891,"Infalin duo 3 mg/ml + 0,25 mg/ml ušná roztoková instilácia",O,int ots 1x10 ml (fľ.PE s kvapkadlom),S02CA05,10,N,12.23
1892,Infanrix hexa,O,"plv iul 10x0,5 ml (10x liek.+10x striek.+20x ihla)",J07CA09,78,N,14.03
1893,Infanrix Polio,O,"sus inj 10x0,5 ml (striek.inj.napl.skl.+10 ihiel)",J07CA02,5,N,5.09
1894,Infectoscab 5 % krém,O,crm 1x30 g (tuba Al),P03AC04,67,N,5.34
1895,Inflectra 100 mg prášok na infúzny koncentrát,1B,plc ifc 1x100 mg (liek.inj.skl.),L04AB02,12,A,8.72
1896,Influvac Tetra,O,"sus iru 10x0,5 ml (striek.inj.skl.napl. s ihlou)",J07BB02,64,N,2.41
1897,INFUSIO GLUCOSI 10 IMUNA,O,sol inf 1x250 ml (fľ.inf.skl.),B05BA03,71,N,5.92
1898,INFUSIO GLUCOSI 10 IMUNA,1G,sol inf 1x250 ml (vak plast.PP),B05BA03,82,A,5.24
1899,INFUSIO GLUCOSI 10 IMUNA,O,sol inf 1x500 ml (fľ.inf.skl.),B05BA03,99,N,4.23
1900,INFUSIO GLUCOSI 10 IMUNA,1G,sol inf 1x500 ml (vak plast.PP),B05BA03,4,N,11.05
1901,INFUSIO GLUCOSI 5 IMUNA,O,sol inf 1x100 ml (fľ.inf.skl.),B05BA03,98,N,14.65
1902,INFUSIO GLUCOSI 5 IMUNA,O,sol inf 1x250 ml (fľ.inf.skl.),B05BA03,30,N,2.28
1903,INFUSIO GLUCOSI 5 IMUNA,1G,sol inf 1x250 ml (vak plast.PP),B05BA03,1,A,13.77
1904,INFUSIO GLUCOSI 5 IMUNA,O,sol inf 1x500 ml (fľ.inf.skl.),B05BA03,32,N,10.73
1905,INFUSIO GLUCOSI 5 IMUNA,1G,sol inf 1x500 ml (vak plast.PP),B05BA03,71,N,8.39
1906,INFUSIO MANNITOLI 10 IMUNA,O,sol inf 1x250 ml (fľ.skl.),B05BC01,95,N,5.37
1907,INFUSIO MANNITOLI 10 IMUNA,1G,sol inf 1x250 ml (vak PP),B05BC01,20,A,11.56
1908,INFUSIO NATRII CHLORATI ISOTONICA IMUNA,O,sol inf 1x100 ml (fľ.inf.skl.),B05BB01,30,N,4.2
1909,INFUSIO NATRII CHLORATI ISOTONICA IMUNA,O,sol inf 1x250 ml (fľ.inf.skl.),B05BB01,61,N,14.83
1910,INFUSIO NATRII CHLORATI ISOTONICA IMUNA,O,sol inf 1x500 ml (fľ.inf.skl.),B05BB01,14,N,13.42
1911,INFUSIO RINGERI IMUNA,O,sol inf 1x500 ml (fľ.inf.skl.),B05BB01,14,A,6.74
1912,INOMED 50 mg/ml sirup,2G,sir 1x150 ml (fľ.skl.jantárová),J05AX05,7,N,4.35
1913,INOMED 500 mg tablety,1G,tbl 50x500 mg (blis.PVC/PVDC/Al),J05AX05,35,N,7.69
1914,Inovelon 200 mg filmom obalené tablety,O,tbl flm 50x200 mg (blis. PA/Al/PVC),N03AF03,54,A,2.04
1915,Inovelon 400 mg filmom obalené tablety,O,tbl flm 50x400 mg (blis. PA/Al/PVC),N03AF03,46,N,10.46
1916,INSPRA 25 mg filmom obalené tablety,O,tbl flm 30x1x25 mg (blis.PVC/Al nepriehľ.perf.),C03DA04,38,A,11.34
1917,INSPRA 50 mg filmom obalené tablety,O,tbl flm 30x1x50 mg (blis.PVC/Al nepriehľ.perf.),C03DA04,62,N,13.87
1918,Insulatard Penfill,O,"sus inj 10x3 ml/300 IU (náplň.skl 3,5 mg/ ml)",A10AC01,71,N,14.14
1919,Insuman Basal,O,sus inj 5x3 ml/300 IU (SoloStar-skl.nápl.v naplnen..pere),A10AC01,52,A,4.19
1920,Insuman Comb 25,O,sus inj 5x3 ml/300 IU (SoloStar-skl.nápl.v naplnen..pere),A10AD01,62,N,4.01
1921,Insuman Rapid,O,sol inj 5x3 ml/300 IU (SoloStar-skl.nápl.v naplnen..pere),A10AB01,37,A,10.93
1922,Intuicor 25 mg/5 mg,O,tbl flm 112x25 mg/5 mg (blis.PVC/PVDC/Al - kalendár.bal.),C07FX05,63,N,8.86
1923,Intuicor 25 mg/5 mg,O,tbl flm 56x25 mg/5 mg (blis.PVC/PVDC/Al - kalendár.bal.),C07FX05,89,N,2.39
1924,"Intuicor 25 mg/7,5 mg",O,"tbl flm 56x25 mg/7,5 mg (blis.PVC/PVDC/Al - kalendár.bal.)",C07FX05,36,A,7.15
1925,Intuicor 50 mg/5 mg,O,tbl flm 112x50 mg/5 mg (blis.PVC/PVDC/Al - kaledár.bal.),C07FX05,100,N,13.52
1926,Intuicor 50 mg/5 mg,O,tbl flm 56x50 mg/5 mg (blis.PVC/PVDC/Al - kaledár.bal.),C07FX05,60,N,6.93
1927,"Intuicor 50 mg/7,5 mg",O,"tbl flm 56x50 mg/7,5 mg (blis.PVC/PVDC/Al - kalendár.bal.)",C07FX05,78,A,14.19
1928,Invega,O,tbl plg 56x6 mg (bli.OPA/Al/PVC/Al),N05AX13,43,A,6.21
1929,Invega,O,tbl plg 56x9 mg (bli.OPA/Al/PVC/Al),N05AX13,67,N,13.88
1930,Invokana 100 mg filmom obalené tablety,O,tbl flm 100x1x100 mg (blis.PVC/Al-perf.),A10BK02,21,A,5.38
1931,Invokana 100 mg filmom obalené tablety,O,tbl flm 30x1x100 mg (blis.PVC/Al-perf.),A10BK02,80,A,13.53
1932,IOMERON 300,O,sol inj 10x100 ml (fľ.skl.),V08AB10,100,A,14.16
1933,IOMERON 350,O,sol inj 10x100 ml (fľ.skl.),V08AB10,37,N,12.81
1934,IOMERON 350,O,sol inj 10x200 ml (fľ.skl.),V08AB10,54,A,5.53
1935,IOMERON 400,O,sol inj 10x100 ml (fľ.skl.),V08AB10,96,N,3.18
1936,IOMERON 400,O,sol inj 10x200 ml (fľ.skl.),V08AB10,5,N,4.2
1937,IOMERON 400,O,sol inj 10x50 ml (fľ.skl.),V08AB10,38,N,8.72
1938,IOMERON 400,O,sol inj 6x500 ml (fľ.skl.),V08AB10,78,N,1.5
1939,Ipinzan 50 mg/1000 mg,1G,tbl flm 60x50 mg/1000 mg (blis.PVC/PE/PCTFE/Al),A10BD08,18,N,13.09
1940,Ipinzan 50 mg/850 mg,1G,tbl flm 60x50 mg/850 mg (blis.PVC/PE/PCTFE/Al),A10BD08,82,N,6.64
1941,"Irbesartan Hydrochlorothiazide Zentiva 300 mg/12,5 mg filmom obalené tablety",1G,"tbl flm 28x300 mg/12,5 mg (blis.PVC/PVDC/Al)",C09DA04,52,N,14.84
1942,"Irbesartan Hydrochlorothiazide Zentiva 300 mg/12,5 mg filmom obalené tablety",1G,"tbl flm 84x300 mg/12,5 mg (blis.PVC/PVDC/Al)",C09DA04,7,N,14.45
1943,Irbesartan Hydrochlorothiazide Zentiva 300 mg/25 mg filmom obalené tablety,1G,tbl flm 28x300 mg/25 mg (blis.PVC/PVDC/Al),C09DA04,90,A,2.57
1944,Irbesartan Teva 150 mg filmom obalené tablety,2G,tbl flm 28x150 mg (blis.PVC/PVDC/Al),C09CA04,85,A,12.84
1945,Irbesartan Teva 150 mg filmom obalené tablety,2G,tbl flm 90x150 mg (blis.PVC/PVDC/Al),C09CA04,87,N,13.44
1946,Irbesartan Teva 300 mg filmom obalené tablety,2G,tbl flm 28x300 mg (blis.PVC/PVDC/Al),C09CA04,30,A,7.68
1947,Irbesartan Teva 300 mg filmom obalené tablety,2G,tbl flm 90x300 mg (blis.PVC/PVDC/Al),C09CA04,6,N,10.37
1948,Irbesartan Zentiva 150 mg filmom obalené tablety,1G,tbl flm 28x150 mg (blis.PVC/PVDC/Al),C09CA04,83,N,3.96
1949,Irbesartan Zentiva 300 mg filmom obalené tablety,1G,tbl flm 28x300 mg (blis.PVC/PVDC/Al),C09CA04,84,N,4.48
1950,Irbesartan Zentiva 300 mg filmom obalené tablety,1G,tbl flm 84x300 mg (blis.PVC/PVDC/Al),C09CA04,76,A,11.92
1951,"Irbesartan/Hydrochlorothiazid Teva 300 mg/12,5 mg filmom obalené tablety",2G,"tbl flm 28x300 mg/12,5 mg (blis.PVC/PVDC/Al)",C09DA04,50,A,5.42
1952,Irbesartan/Hydrochlorothiazid Teva 300 mg/25 mg filmom obalené tablety,2G,tbl flm 28x300 mg/25 mg (blis.PVC/PVDC/Al),C09DA04,18,N,1.85
1953,IRESSA,O,tbl flm 30(3x10) x 250 mg (blis.PVC/Al  neperfor.),L01XE02,42,N,13.1
1954,Irinotecan Accord  20 mg/ml infúzny koncentrát,1G,con inf 1x2 ml/40 mg (5 ml liek.inj.skl.jantárová s oranž.vieč.),L01XX19,8,A,5.63
1955,Irinotecan Accord  20 mg/ml infúzny koncentrát,1G,con inf 1x5 ml/100 mg (5 ml liek.inj.skl.jantárová s červ.vieč.),L01XX19,94,N,3.2
1956,Irinotecan Mylan 20 mg/ ml,1G,con inf 1x2 ml/40 mg (liek.inj.skl.hnedá),L01XX19,66,N,13.17
1957,Irinotecan Mylan 20 mg/ ml,1G,con inf 1x5 ml/100 mg (liek.inj.skl.hnedá),L01XX19,76,A,8.22
1958,IRUMED 10 mg,1G,tbl 30x10 mg (blis.PVC/PVDC/Al),C09AA03,81,A,12.96
1959,IRUMED 20 mg,1G,tbl 30x20 mg (blis.PVC/PVDC/Al),C09AA03,67,A,1.94
1960,"IRUZID 10 mg/12,5 mg",1G,"tbl 30x10 mg/ 12,5 mg (blis.PVC/PVDC/Al)",C09BA03,14,N,7.26
1961,"IRUZID 20 mg/12,5 mg",1G,"tbl 30x20 mg/ 12,5 mg (blis.PVC/PVDC/Al)",C09BA03,64,N,9.75
1962,IRUZID 20 mg/25 mg,1G,tbl 30x20 mg/ 25 mg (blis.PVC/PVDC/Al),C09BA03,77,A,10.09
1963,ISENTRESS 400 mg filmom obalené tablety,O,tbl flm 60x400 mg (fľ.HDPE),J05AX08,77,A,3.36
1964,ISENTRESS 600 mg filmom obalené tablety,O,tbl flm 60x600 mg (fľ.HDPE),J05AX08,98,N,12.63
1965,isicom 100 mg,1G,tbl 100x100 mg/25 mg (blis.PP/Al),N04BA02,79,A,3.95
1966,isicom 250 mg,1G,tbl 100x250 mg/25 mg (blis.PP/Al),N04BA02,7,A,8.92
1967,ISOKET,1G,aer ora 1x300 dávok (liek.skl. s rozprašovačom),C01DA08,23,N,7.56
1968,ISOPRINOSINE 1000 mg granulát na perorálny roztok vo vrecku,O,gro sac 24x1000 mg (vre.Pap50/Colle/ALU 9/Coex PE),J05AX05,82,N,1.41
1969,Isoprinosine 50 mg/ml sirup,1G,sir 1x150 ml (fľ.skl. hnedá),J05AX05,1,N,2.55
1970,Isoprinosine 500 mg tablety,O,tbl 100x500 mg (blis. PVC/PVDC/Al),J05AX05,57,N,8.54
1971,Isoprinosine 500 mg tablety,O,tbl 50x500 mg (blis. PVC/PVDC/Al),J05AX05,56,N,2.98
1972,Isoptin 40 mg,O,tbl flm 50x40 mg (blis.PVC/Al),C08DA01,51,N,13.71
1973,Isoptin 80 mg,O,tbl flm 50x80 mg (blis.PVC/Al),C08DA01,9,A,13.59
1974,Isoptin ICHS retard,O,tbl plg 50x120 mg (blis.PVC/PVDC/Al),C08DA01,9,A,5.77
1975,Isoptin SR 240 mg,O,tbl plg 30x240 mg (blis.PVC/PVDC/Al),C08DA01,36,A,1.84
1976,Isotretinoin Actavis 10 mg,1G,cps mol 30x10 mg (blis.PVC/PVDC/Al),D10BA01,81,N,9.37
1977,Isotretinoin Actavis 20 mg,1G,cps mol 30x20 mg (blis.PVC/PVDC/Al),D10BA01,16,N,1.54
1978,ITOCAN,2G,tbl flm 100x50 mg (blis.PVC/PVDC/Al),A03FA07,5,A,11.76
1979,ITOCAN,2G,tbl flm 40x50 mg (blis.PVC/PVDC/Al),A03FA07,40,N,10.11
1980,Itoprid PMCS 50 mg,1G,tbl flm 100x50 mg (blis.PVC/PVDC/Al),A03FA07,30,N,3
1981,Itoprid PMCS 50 mg,1G,tbl flm 40x50 mg (blis.PVC/PVDC/Al),A03FA07,32,A,3.85
1982,Itoprid Xantis 50 mg,1G,tbl 100x50 mg (blis.PVC/PVDC/Al),A03FA07,44,N,4.61
1983,Itoprid Xantis 50 mg,1G,tbl 40x50 mg (blis.PVC/PVDC/Al),A03FA07,12,N,7.06
1984,ITULAZAX,O,lyo por 30x12 SQ-Bet (blis.Al/Al),V01AA05,89,N,11.98
1985,ITULAZAX,O,lyo por 90x12 SQ-Bet (blis.Al/Al),V01AA05,74,A,10
1986,Ivabradín Sandoz 5 mg,1G,tbl flm 56x5 mg (blis.PVC/PE/PVDC/Al),C01EB17,19,N,1.73
1987,"Ivabradín Sandoz 7,5 mg",1G,"tbl flm 56x7,5 mg (blis.PVC/PE/PVDC/Al)",C01EB17,54,A,12.33
1988,Ivabradin STADA 5 mg filmom obalené tablety,1G,tbl flm 56x5 mg (blis.Al/Al),C01EB17,32,A,6.02
1989,"Ivabradin STADA 7,5 mg filmom obalené tablety",1G,"tbl flm 56x7,5 mg (blis.Al/Al)",C01EB17,21,N,3.49
1990,Ivabradín Teva Slovakia 5 mg,1G,tbl flm 56x5 mg (blis.OPA/Al/PE/vysušovadlo/Al/PE-kalendár.bal.),C01EB17,72,N,4.12
1991,Ivabradine Anpharm 5 mg filmom obalené tablety,1G,tbl flm 56x5 mg (blis.PVC/Al),C01EB17,35,N,10.46
1992,"Ivabradine Anpharm 7,5 mg filmom obalené tablety",1G,"tbl flm 56x7,5 mg (blis.PVC/Al)",C01EB17,86,A,3.46
1993,Ivabradine Mylan 5 mg filmom obalené tablety,1G,tbl flm 56x5 mg (blis.PVC/PE/PVDC/Al),C01EB17,4,N,10.59
1994,"Ivabradine Mylan 7,5 mg filmom obalené tablety",1G,"tbl flm 56x7,5 mg (blis.PVC/PE/PVDC/Al)",C01EB17,31,A,1.44
1995,Ivabradine Zentiva 5 mg filmom obalené tablety,1G,tbl flm 56x5 mg (blis.OPA/Al/PVC/Al),C01EB17,85,N,4.27
1996,"Ivabradine Zentiva 7,5 mg mg filmom obalené tablety",1G,"tbl flm 56x7,5 mg (blis.OPA/Al/PVC/Al)",C01EB17,25,A,3.79
1997,Jamesi 50 mg/1000 mg,1G,tbl flm 196x50 mg/1000 mg (blis.PVC/PVDC/Al),A10BD07,17,N,8.37
1998,Jamesi 50 mg/1000 mg,1G,tbl flm 56x50 mg/1000 mg (blis.PVC/PVDC/Al),A10BD07,28,A,9.13
1999,Jamesi 50 mg/850 mg,1G,tbl flm 196x50 mg/850 mg (blis.PVC/PVDC/Al),A10BD07,74,N,13.25
2000,Jamesi 50 mg/850 mg,1G,tbl flm 56x50 mg/850 mg (blis.PVC/PVDC/Al),A10BD07,80,N,14.98
2001,Jansitin 100 mg filmom obalené tablety,1G,tbl flm 98x100 mg (blis.PVC/PVDC/Al),A10BH01,36,N,1.22
1370,Evrenzo 50 mg filmom obalené tablety,O,tbl flm 12x1x50 mg (blis.PVC/Al),B03XA05,27,N,12.34
1371,Evrenzo 70 mg filmom obalené tablety,O,tbl flm 12x1x70 mg (blis.PVC/Al),B03XA05,66,A,2.67
1372,"Evrysdi 0,75 mg/ml prášok na perorálny roztok",O,plo por 1x60 mg (fľ.skl.jantár.),M09AX10,58,A,3.07
1373,EXCIPIAL U HYDROLOTIO,O,emu der 1x200 ml (fľ.PVC),D02AE01,59,N,2.68
1374,EXCIPIAL U LIPOLOTIO,O,emu der 1x200 ml (fľ.PVC),D02AE01,1,A,6.26
1375,"Exelon 13,3 mg/24 h transdermálna náplasť",O,"emp tdm 30x13,3 mg/24 hodín (vre.pap.PET/PE/Al/PA)",N06DA03,81,N,10.21
1376,"Exelon 4,6 mg/24 h transdermálna náplasť",O,"emp tdm 30x4,6 mg/24 hodín (vre.pap.PET/PE/Al/PA)",N06DA03,82,A,13.65
1377,"Exelon 9,5 mg/24 h transdermálna náplasť",O,"emp tdm 30x9,5 mg/24 hodín (vre.pap.PET/PE/Al/PA)",N06DA03,62,N,2.39
1378,Exemestan Mylan 25 mg,1G,tbl flm 30x25 mg (blis.PVC/PVDC/Al),L02BG06,73,A,12.31
1379,Exemestane Pharmacenter 25 mg filmom obalené tablety,1G,tbl flm 90x25 mg (blis.PVC/PVDC/Al),L02BG06,86,N,1.17
1380,Exferana 180 mg,1G,tbl flm 30x180 mg (blis.PVC/PVDC/Al),V03AC03,54,A,11.07
1381,Exferana 360 mg,1G,tbl flm 30x360 mg (blis.PVC/PVDC/Al),V03AC03,19,A,2.56
1382,EXJADE 180 mg filmom obalené tablety,O,tbl flm 30x180 mg (blis. PVC/PVDC/Al),V03AC03,8,A,7.99
1383,EXJADE 360 mg filmom obalené tablety,O,tbl flm 30x360 mg (blis. PVC/PVDC/Al),V03AC03,22,A,4.24
1384,"Eylea 40 mg/ml, injekčný roztok naplnený v injekčnej striekačke",O,"sol inj 1x90 µl/3,6 mg (striek.inj.napl.skl.)",S01LA05,85,N,4.75
1385,Ezen 10 mg,1G,tbl 30x10 mg (blis.PVC/Aclar/PVC/Al),C10AX09,31,N,10.82
1386,Ezen 10 mg,3G,tbl 30x10 mg (blis.PVC/PE/PVDC/Al),C10AX09,92,A,14.69
1387,Ezen 10 mg,1G,tbl 90x10 mg (blis.PVC/Aclar/PVC/Al),C10AX09,63,A,3.66
1388,Ezen 10 mg,3G,tbl 90x10 mg (blis.PVC/PE/PVDC/Al),C10AX09,78,A,6.44
1389,Ezetimib Mylan 10 mg,1G,tbl 30x10 mg (blis.PVC/Aclar/Al),C10AX09,43,A,12.04
1390,Ezetimib Stada 10 mg,1G,tbl 30x10 mg (blis.PVC/PCTFE/PVC//A),C10AX09,83,A,3.02
1391,Ezetimib Stada 10 mg,1G,tbl 98x10 mg (blis.PVC/PCTFE/PVC//A),C10AX09,99,A,3.87
1392,Ezetimib Teva 10 mg,1G,tbl 30x10 mg (blis.PVC/Aclar/PVC/Al),C10AX09,77,A,12.14
1393,Ezetimib Teva 10 mg,1G,tbl 98x10 mg (blis.PVC/Aclar/PVC/Al),C10AX09,96,N,8.98
1394,Ezetimib/simvastatín Teva B.V. 10 mg/20 mg,2G,tbl 30x10 mg/20 mg (blis.OPA/Al/PVC/Al),C10BA02,87,A,6.25
1395,Ezetimib/simvastatín Teva B.V. 10 mg/20 mg,2G,tbl 98x10 mg/20 mg (blis.OPA/Al/PVC/Al),C10BA02,87,N,2.5
1396,Ezetimib/simvastatín Teva B.V. 10 mg/40 mg,3G,tbl 100x10 mg/40 mg (blis.OPA/Al/PVC/Al),C10BA02,84,N,6.96
1397,Ezetimib/simvastatín Teva B.V. 10 mg/40 mg,2G,tbl 30x10 mg/40 mg (blis.OPA/Al/PVC/Al),C10BA02,75,N,13.89
1398,Ezetimibe Glenmark 10 mg tablety,1G,tbl 30x10 mg (blis.PVC/Aclar/Al),C10AX09,42,N,14.09
1399,Ezetimibe Glenmark 10 mg tablety,1G,tbl 98x10 mg (blis.PVC/Aclar/Al),C10AX09,67,N,9.35
1400,Ezetimibe Sandoz 10 mg,1G,tbl 100x10 mg (blis.Al/Al),C10AX09,63,A,1.77
1401,Ezetimibe Sandoz 10 mg,1G,tbl 30x10 mg (blis.Al/Al),C10AX09,54,A,9.1
1402,EZETROL,O,tbl 30x10 mg (blis. pretl.),C10AX09,65,N,11.78
1403,EZETROL,O,tbl 98x10 mg (blis. pretl.),C10AX09,43,A,5.07
1404,Ezoleta 10 mg tablety,1G,tbl 30x10 mg (blis.OPA/Al/PVC/Al),C10AX09,27,A,5.53
1405,Ezoleta 10 mg tablety,1G,tbl 98x10 mg (blis.OPA/Al/PVC/Al),C10AX09,72,A,9.87
1406,"Fabrazyme 35 mg, prášok na infúzny koncentrát",O,plc ifc 1x35 mg (liek.inj.skl.),A16AB04,58,A,2.27
1407,FACTOR VII NF Baxalta,O,plv iol  1x600 IU+1x10 ml solv. (liek.skl.+liek.skl.),B02BD05,60,A,10.62
1408,Famciclovir - Teva 250 mg,1G,tbl flm 15x250 mg (blis.PVC/PE/Aclar/Al),J05AB09,10,A,11.39
1409,Famciclovir - Teva 500 mg,1G,tbl flm 14x500 mg (blis.PVC/PE/Aclar/Al),J05AB09,5,N,13.04
1410,Fanhdi 100 IU/ml,O,plv iol 1x1000 IU+10 ml solv. (liek.skl.+striek.inj.napl.),B02BD06,53,N,12.5
1411,Fanhdi 100 IU/ml,O,plv iol 1x1500 IU+15 ml solv. (liek.skl.+striek.inj.napl.),B02BD06,13,N,2.09
1412,Fanhdi 25 IU/ml,O,plv iol 1x250 IU+10 ml solv. (liek.skl.+striek.inj.napl.),B02BD06,58,N,5.05
1413,Fanhdi 50 IU/ml,O,plv iol 1x500 IU+10 ml solv. (liek.skl.+.striek.inj.napl.),B02BD06,17,A,11.11
1414,FARMORUBICIN PFS,O,sol inj 1x25 ml/50 mg (liek.PP),L01DB03,53,N,13.7
1415,Faslodex 250 mg injekčný roztok,O,sol inj 1x5 ml/250 mg (striek.inj.napl.skl.+1 bezp.ihla),L02BA03,54,A,7.21
1416,Febira 200,1G,cps dur 30x200 mg (blis.PVC/PVDC/Al),C10AB05,61,N,6.41
1417,Febira 200,1G,cps dur 60x200 mg (blis.PVC/PVDC/Al),C10AB05,5,A,1.14
1418,Febuxostat Sandoz 120 mg,1G,tbl flm 28x120 mg (blis.Al/PVC/PE/PVDC),M04AA03,59,N,6.93
1419,Febuxostat Sandoz 80 mg,1G,tbl flm 28x80 mg (blis.Al/PVC/PE/PVDC),M04AA03,93,A,9.23
1420,FEIBA 25 U/ml,O,plv iio 1x500 U+20 ml solv.(liek.inj.skl.+prísl.),B02BD03,20,N,5.41
1421,FEIBA 50 U/ml,O,plv iio 1x1000 U+20 ml solv.(liek.inj.skl.+prísl.),B02BD03,64,A,11.14
1422,FEIBA 50 U/ml,O,plv iio 1x500 U + 10 ml solv. (liek.inj.skl. + prísl.),B02BD03,62,A,2.12
1423,FEIBA 50 U/ml,O,plv iio 1x500 U+10 ml solv. (liek.inj.skl.+prísl.+Baxject II Hi-Flow),B02BD03,86,A,12.12
1424,Felodipin-ratiopharm  10 mg,1G,tbl plg 30x10 mg,C08CA02,7,A,9.21
1425,Felodipin-ratiopharm  5 mg,1G,tbl plg 30x5 mg,C08CA02,96,A,3.59
1426,Femgin 150 mg,1G,cps dur 1x150 mg (blis.PVC/PVDC/Al),J02AC01,3,A,4.17
1427,Femgin 150 mg,1G,cps dur 4x150 mg (blis.PVC/PVDC/Al),J02AC01,73,A,9.03
1428,femoston 1/10,O,tbl flm 1x28 (blis.PVC/Al),G03FB08,2,N,1.58
1429,femoston 2/10,O,tbl flm 1x28 (blis.PVC/Al),G03FB08,50,A,5.36
1430,femoston conti,O,tbl flm 1x28 (blis.PVC/Al),G03FA14,50,A,4.56
1431,FENDRIX,O,"sus inj 1x0,5 ml (s ihlou)",J07BC01,32,N,14.41
1432,Fenistil,O,gto por 1x20 ml (fľ.skl.hnedá),R06AB03,43,A,10.49
1433,Fenofibrate Teva 267 mg,1G,cps dur 30x267 mg,C10AB05,9,A,9.09
1434,Fenofix 200,1G,cps dur 90x200 mg (blis.PVC/PVDC/Al),C10AB05,96,N,5.24
1435,Fenofix 200,1G,cps dur 30x200 mg (blis.PVC/PVDC/Al),C10AB05,20,A,1.6
1436,Fentanyl ratiopharm 100 µg/h,1G,emp tdm 5x100 µg/1 h (vre.papier/PE/Al/surlyn),N02AB03,93,A,11.43
1437,Fentanyl ratiopharm 12 µg/h,1G,emp tdm 5x12 µg/1 h (vre.papier/PE/Al/surlyn),N02AB03,75,N,9.26
1438,Fentanyl ratiopharm 25 µg/h,1G,emp tdm 5x25 µg/1 h (vre.papier/PE/Al/surlyn),N02AB03,92,A,13.86
1439,Fentanyl ratiopharm 50 µg/h,1G,emp tdm 5x50 µg/1 h (vre.papier/PE/Al/surlyn),N02AB03,55,A,1.14
1440,Fentanyl ratiopharm 75 µg/h,1G,emp tdm 5x75 µg/1 h (vre.papier/PE/Al/surlyn),N02AB03,79,N,8.86
1441,Fentanyl Sandoz 100 µg/h matrix transdermálna náplasť,1G,emp tdm 5x100 µg/1 h,N02AB03,12,N,12.2
1442,Fentanyl Sandoz 25 µg/h matrix transdermálna náplasť,1G,emp tdm 5x25 µg/1 h,N02AB03,3,N,4.75
1443,Fentanyl Sandoz 50 µg/h matrix transdermálna náplasť,1G,emp tdm  5x50 µg/1 h,N02AB03,89,N,10.48
1444,Fentanyl Sandoz 75 µg/h matrix transdermálna náplasť,1G,emp tdm 5x75 µg/1 h,N02AB03,36,A,8.16
1445,Ferinject,O,sol ijf 1x10 ml/500 mg (liek.inj.skl.),B03AC01,15,A,1.72
1446,Ferretab comp.,O,cps dur 100 (blis.Al/PVC),B03AD02,47,N,10.08
1447,Ferretab comp.,O,cps dur 30 (blis.Al/PVC),B03AD02,24,A,3.55
1448,Fevarin 100,O,tbl flm 30x100 mg (blis.PVC/PVDC/Al),N06AB08,40,N,9.12
1449,Fevarin 50,O,tbl flm 30x50 mg (blis.PVC/PVDC/Al),N06AB08,23,A,12.18
1450,Fexofenadin Generics 120 mg,1G,tbl flm 30x120 mg (blis.PVC/PVDC/Al),R06AX26,38,A,10.73
1451,Fexofenadin Generics 180 mg,1G,tbl flm 30x180 mg (blis.PVC/PVDC/Al),R06AX26,10,N,11.37
1452,Fiasp 100 jednotiek/ml injekčný roztok naplnený v injekčnom pere,O,sol inj 10(2x5)x3 ml/300 U (pero napl.-skup.bal.),A10AB05,92,A,10.04
